"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,15,2,9,4,0,0.133333333333333,0.6,0.266666666666667,0,35.5913220363328,271.69627029941,49.3846756164536,8.96090358989722,2000-01-01
1,14,0,11,3,0,0,0.785714285714286,0.214285714285714,0,41.2647689103889,297.164849352015,54.1306260051271,12.3374872298876,2000-01-08
2,18,0,13,3,2,0,0.722222222222222,0.166666666666667,0.111111111111111,37.0818188802449,296.549378854629,55.3837092545481,13.9753415926904,2000-01-15
3,15,2,7,6,0,0.133333333333333,0.466666666666667,0.4,0,31.0286563243402,289.671270219649,66.7417979751271,11.9645028433971,2000-01-22
4,10,1,7,2,0,0.1,0.7,0.2,0,22.7886319088728,286.004976744776,70.3251790263409,15.8625262329984,2000-01-29
5,19,1,9,9,0,0.0526315789473684,0.473684210526316,0.473684210526316,0,24.2226046483439,280.831687748673,83.0331258489893,17.5604952404804,2000-02-05
6,21,2,13,6,0,0.0952380952380952,0.619047619047619,0.285714285714286,0,28.3755420380207,255.427894010665,98.318622361639,13.0657350355535,2000-02-12
7,14,1,7,6,0,0.0714285714285714,0.5,0.428571428571429,0,28.3624659196839,233.97863407615,119.92468009299,7.88604958877054,2000-02-19
8,19,1,9,9,0,0.0526315789473684,0.473684210526316,0.473684210526316,0,30.7111112983898,247.81584163601,151.03663656157,4.28685550228211,2000-02-26
9,21,1,9,11,0,0.0476190476190476,0.428571428571429,0.523809523809524,0,35.51032688127,268.573663424375,174.95078961199,2.20513303233828,2000-03-04
10,21,1,8,12,0,0.0476190476190476,0.380952380952381,0.571428571428571,0,33.687189997068,279.533176185192,200.82825303179,1.1001980715508,2000-03-11
11,15,1,6,8,0,0.0666666666666667,0.4,0.533333333333333,0,35.1761517300058,283.062973473619,236.786705458558,0.539438667119122,2000-03-18
12,28,1,15,12,0,0.0357142857142857,0.535714285714286,0.428571428571429,0,36.4354601983661,273.959015626561,268.001384633772,0.261824435331046,2000-03-25
13,45,2,23,20,0,0.0444444444444444,0.511111111111111,0.444444444444444,0,35.6792779927044,266.84044334885,299.844056838338,0.12632391776164,2000-04-01
14,26,0,12,14,0,0,0.461538461538462,0.538461538461538,0,31.7567421736795,298.310332700554,334.960517288492,0.0607329365524163,2000-04-08
15,36,2,18,16,0,0.0555555555555556,0.5,0.444444444444444,0,35.0719380364248,392.133046638635,397.90739234942,0.0291373180454355,2000-04-15
16,48,5,22,21,0,0.104166666666667,0.458333333333333,0.4375,0,36.6951922477175,480.38490833861,473.268855214224,0.0139614897490661,2000-04-22
17,45,5,18,22,0,0.111111111111111,0.4,0.488888888888889,0,36.7288103972558,530.711692406108,519.144271107505,0.0066848497515188,2000-04-29
18,60,2,20,38,0,0.0333333333333333,0.333333333333333,0.633333333333333,0,60.8486769894029,595.573371999466,569.900893711376,0.00319934261047769,2000-05-06
19,58,2,28,28,0,0.0344827586206897,0.482758620689655,0.482758620689655,0,102.581564785791,645.352379912721,637.799863553253,0.00153079560548585,2000-05-13
20,56,5,21,30,0,0.0892857142857143,0.375,0.535714285714286,0,121.639556804055,678.434610691274,776.76775044198,0.000732330959385907,2000-05-20
21,82,4,35,43,0,0.0487804878048781,0.426829268292683,0.524390243902439,0,111.533300973576,711.68068872238,912.647169081921,0.000350315001097476,2000-05-27
22,61,5,21,35,0,0.0819672131147541,0.344262295081967,0.573770491803279,0,110.959675473884,760.851611537717,970.669084572354,0.000167566578463309,2000-06-03
23,81,6,23,52,0,0.0740740740740741,0.283950617283951,0.641975308641975,0,123.944833042404,842.558493498961,1058.28880540345,8.01498816447833e-05,2000-06-10
24,94,7,27,60,0,0.074468085106383,0.287234042553192,0.638297872340426,0,131.200532469945,865.598507307505,1158.81271375355,3.83363473837285e-05,2000-06-17
25,94,11,34,49,0,0.117021276595745,0.361702127659574,0.521276595744681,0,147.240990369906,828.840344601891,1261.07141866906,1.83364041855317e-05,2000-06-24
26,108,6,29,72,1,0.0555555555555556,0.268518518518519,0.666666666666667,0.00925925925925926,172.83652406049,821.219081534677,1436.12137871017,8.77031283538409e-06,2000-07-01
27,98,13,21,64,0,0.13265306122449,0.214285714285714,0.653061224489796,0,215.195326385527,834.466459046683,1551.63900409831,0.131374787974061,2000-07-08
28,92,12,20,60,0,0.130434782608696,0.217391304347826,0.652173913043478,0,226.947449520017,840.486467043395,1639.3450186544,3.86046632274539,2000-07-15
29,112,7,37,68,0,0.0625,0.330357142857143,0.607142857142857,0,242.397054851981,799.992434112327,1729.72178609909,7.98912842622295,2000-07-22
30,120,11,39,69,1,0.0916666666666667,0.325,0.575,0.00833333333333333,261.870422508364,725.358508790031,1724.55400495079,7.01184821731923,2000-07-29
31,123,3,27,93,0,0.024390243902439,0.219512195121951,0.75609756097561,0,263.111767221055,703.016967781711,1693.18545565493,4.95827757543813,2000-08-05
32,118,14,29,75,0,0.11864406779661,0.245762711864407,0.635593220338983,0,252.507071455007,764.283517149496,1711.26441855174,7.17760210713553,2000-08-12
33,102,12,22,68,0,0.117647058823529,0.215686274509804,0.666666666666667,0,228.88499648277,796.062990772564,1747.02363849468,8.18509163933656,2000-08-19
34,117,10,31,76,0,0.0854700854700855,0.264957264957265,0.64957264957265,0,215.314608850101,755.933326195824,1785.2651614874,5.98166951753078,2000-08-26
35,123,12,16,95,0,0.0975609756097561,0.130081300813008,0.772357723577236,0,229.647212457544,679.300961490569,1728.73990225811,3.52779198864657,2000-09-02
36,95,11,20,63,1,0.115789473684211,0.210526315789474,0.663157894736842,0.0105263157894737,225.798660162066,620.06347897929,1617.69122858783,1.88012729218192,2000-09-09
37,94,7,14,73,0,0.074468085106383,0.148936170212766,0.776595744680851,0,222.949436895031,552.791249445939,1602.08308595331,1.15036373926301,2000-09-16
38,76,6,17,53,0,0.0789473684210526,0.223684210526316,0.697368421052632,0,223.357045448726,469.16572403286,1576.41526208531,3.51981369476654,2000-09-23
39,86,10,16,60,0,0.116279069767442,0.186046511627907,0.697674418604651,0,199.713941174732,395.57053208456,1469.16026918578,5.48110170130317,2000-09-30
40,64,8,14,42,0,0.125,0.21875,0.65625,0,170.417767050471,338.158904591849,1324.76664929295,4.43430691902036,2000-10-07
41,64,5,10,49,0,0.078125,0.15625,0.765625,0,158.605586100987,304.809075057589,1171.84465213759,2.73245552637345,2000-10-14
42,55,6,11,38,0,0.109090909090909,0.2,0.690909090909091,0,150.13588848303,287.058326845912,1044.38446139724,1.48965187587104,2000-10-21
43,49,8,9,32,0,0.163265306122449,0.183673469387755,0.653061224489796,0,136.466085663536,257.544721758162,938.532181736679,0.764719476499425,2000-10-28
44,30,2,2,25,1,0.0666666666666667,0.0666666666666667,0.833333333333333,0.0333333333333333,119.001549723332,226.545790113008,840.6421799729,0.380468339537598,2000-11-04
45,42,3,8,31,0,0.0714285714285714,0.19047619047619,0.738095238095238,0,113.65641017298,201.670127193643,748.716086547608,1.07388281039616,2000-11-11
46,44,2,5,37,0,0.0454545454545455,0.113636363636364,0.840909090909091,0,100.017257000611,162.922662137227,642.78592344238,4.08106369017066,2000-11-18
47,27,5,2,19,1,0.185185185185185,0.0740740740740741,0.703703703703704,0.037037037037037,79.75204986239,133.369643345229,565.06986648793,4.70194696676605,2000-11-25
48,32,6,7,19,0,0.1875,0.21875,0.59375,0,64.1189538846333,116.570994418682,557.546435020803,3.38259845173751,2000-12-02
49,22,4,4,14,0,0.181818181818182,0.181818181818182,0.636363636363636,0,64.8573384915039,98.2563182262074,541.719380557939,3.38396682101279,2000-12-09
